%1$d already matched	%1$d já coincidiam
%1$d areas were checked and everything they need is here.	%1$d áreas foram verificadas e tudo de que precisam está aqui.
%1$d fields overridden	%1$d campos substituídos
%1$d fields will be overridden when requested	%1$d campos serão substituídos quando solicitados
%1$d gates selected	%1$d gates selecionados
%1$d minutes left	Restam %1$d minutos
%1$d rejected	%1$d rejeitados
%1$d results	%1$d resultados
%1$d results so far	%1$d resultados até agora
%1$d results so far, and more not counted	%1$d resultados até agora, e mais não contados
%1$d results, filtered to %2$s	%1$d resultados, filtrados por %2$s
%1$d setting was not in that file and was left as it is	%1$d configuração não estava nesse arquivo e ficou como estava
%1$d settings were not in that file and were left as they are	%1$d configurações não estavam nesse arquivo e ficaram como estavam
%1$d unavailable	%1$d indisponíveis
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (valor do TikTok)
%1$s (custom, unverified)	%1$s (personalizado, não verificado)
%1$s (override returned)	%1$s (substituição retornada)
%1$s (will be returned when requested)	%1$s (será retornado quando solicitado)
%1$s / current cache only	%1$s / somente cache atual
%1$s / generated registry	%1$s / registro gerado
%1$s / generated registry and current cache	%1$s / registro gerado e cache atual
%1$s / local catalog	%1$s / catálogo local
%1$s and above	%1$s ou superior
%1$s appears more than once in this file.	%1$s aparece mais de uma vez neste arquivo.
%1$s changed	%1$s alterados
%1$s is already hidden	%1$s já está escondido
%1$s destinations must start with %2$s	Os destinos de %1$s precisam começar com %2$s
%1$s has an invalid value. %2$s	%1$s tem um valor inválido. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s é um tipo de valor que o Lab não consegue substituir.
%1$s has type %2$s, but the file says %3$s.	%1$s tem o tipo %2$s, mas o arquivo informa %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s não é um código de país, então nenhum vídeo combinaria com ele. Use duas letras, como GB, IE ou US.
%1$s is not in this Lab catalog.	%1$s não está neste catálogo do Lab.
%1$s isn't installed or doesn't take links	%1$s não está instalado ou não aceita links
%1$s left	Resta %1$s
%1$s min left	Restam %1$s min
%1$s to %2$s	De %1$s a %2$s
%1$s videos left	Restam %1$s vídeos
%1$s was rejected. %2$s	%1$s foi rejeitado. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, selecionado
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d encontrados, %3$d faltando
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d encontrados, %3$d faltando, e mais que parou de contar
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltando, e mais que parou de contar. O primeiro que faltou: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltando. O primeiro que faltou: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 campo substituído
This quality isn't available as a complete file, so TikTok's own save runs instead	Esta qualidade não está disponível como arquivo completo, então o salvamento do próprio TikTok é usado
This setting's value can't be copied on this build, so it can't be overridden. Reset the override.	O valor desta configuração não pode ser copiado nesta versão, então não dá para substituí-lo. Redefina a substituição.
This story isn't available to save	Este story não está disponível para salvar
This value is required.	Este valor é obrigatório.
This video has no link to copy	Este vídeo não tem link para copiar
This video has no link to send, so TikTok's own save runs instead	Este vídeo não tem link para mandar, então o salvamento do próprio TikTok é usado
This video has no original sound to save	Este vídeo não tem som original para salvar
This video has no sound of its own	Este vídeo não tem som próprio
Thumbs down blocks the commenter	O joinha para baixo bloqueia quem comentou
TikTok default	Padrão do TikTok
TikTok default (hold to speed up, quick share)	Padrão do TikTok (segurar para acelerar, compartilhamento rápido)
TikTok did not block %1$s. Try again in a moment.	O TikTok não bloqueou %1$s. Tente de novo daqui a pouco.
TikTok did not unblock %1$s. Try again in a moment.	O TikTok não desbloqueou %1$s. Tente de novo daqui a pouco.
TikTok didn't accept the feedback. Try again later.	O TikTok não aceitou o feedback. Tente mais tarde.
TikTok hasn't handed this setting an object to change yet. Open the part of the app that uses it, then come back.	O TikTok ainda não entregou a esta configuração um objeto para alterar. Abra a parte do app que a usa e volte aqui.
TikTok read it	O TikTok leu
TikTok read it, but the override couldn't be applied. Reset it and save it again.	O TikTok leu, mas a substituição não pôde ser aplicada. Redefina-a e salve de novo.
TikTok refused the follow: %1$s	O TikTok recusou o seguir: %1$s
TikTok's own value	Valor do próprio TikTok
TikTok's play and pause button and its previous and next buttons appear on the feed. TikTok otherwise shows them only to people who use a screen reader. TikTok's analytics note the row and each press on it.	O botão de reproduzir e pausar do TikTok e os botões de anterior e próximo aparecem no feed. Fora isso, o TikTok só os mostra para quem usa um leitor de tela. As análises do TikTok registram a fileira e cada toque nela.
TikTok's server can put an account into an experiment that empties the Favorites tab on your profile. Keep the tab and its saved videos.	O servidor do TikTok pode colocar uma conta em um experimento que esvazia a aba Favoritos do seu perfil. Mantém a aba e os vídeos salvos nela.
TikTok's size	Tamanho do TikTok
Times you can open the feed anyway	Vezes que você pode abrir o feed mesmo assim
Today has moved on, so there is nothing to put back	O dia já andou, então não há nada para trazer de volta
Today is back where it was	Hoje está como estava
Today started over. Tap again to put the counts back.	Hoje recomeçou. Toque de novo para trazer as contagens de volta.
Today starts again	Hoje começa de novo
Today's budget is locked. The day starts over at %1$s.	O limite de hoje está travado. O dia recomeça às %1$s.
Today's budget is locked. The feed opens again at %1$s. Messages, profiles and search still work.	O limite de hoje está travado. O feed abre de novo às %1$s. As mensagens, os perfis e a busca continuam funcionando.
Today's budget is locked. This can be changed again at %1$s.	O limite de hoje está travado. Isto poderá ser mudado de novo às %1$s.
Today: %1$d minute	Hoje: %1$d minuto
Today: %1$d minutes	Hoje: %1$d minutos
Today: %1$d video	Hoje: %1$d vídeo
Today: %1$d videos	Hoje: %1$d vídeos
Tokens: {creator}, {date}, {video_id}, {index}. {index} numbers the photos of a slideshow you save with Download original photos; anything saved through TikTok's own button is numbered by the folder instead. The file extension is kept automatically.	Curingas: {creator}, {date}, {video_id}, {index}. {index} numera as fotos de uma apresentação salva com Baixar as fotos originais; o que for salvo pelo botão do próprio TikTok é numerado pela pasta. A extensão do arquivo é mantida automaticamente.
Tokens: {creator}, {date}, {video_id}. The file extension is kept automatically.	Curingas: {creator}, {date}, {video_id}. A extensão do arquivo é mantida automaticamente.
Tokens: {date}, {media_id}. Works for image and video stickers.	Curingas: {date}, {media_id}. Serve para os stickers de imagem e de vídeo.
Too many media saves are already running. Try again shortly.	Muitos salvamentos de mídia já estão em andamento. Tente daqui a pouco.
Tracking	Rastreamento
Tracking, device access and links	Rastreamento, acesso ao dispositivo e links
Translate comments as they load, using TikTok's own translator.	Traduzir os comentários conforme eles carregam, com o tradutor do próprio TikTok.
Transparent	Transparente
Try a different word or clear the search.	Tente outra palavra ou limpe a busca.
Try again, or go back to TikTok.	Tente novamente ou volte ao TikTok.
Turn on %1$s first.	Ative %1$s primeiro.
Turn on overrides	Ativar as substituições
Turned off %1$d gates of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	%1$d de %2$d gates desligados. Os demais não aceitam um valor true ou false. Reinicie o TikTok para aplicar.
Turned off %1$d gates. Restart TikTok to apply this.	%1$d gates desligados. Reinicie o TikTok para aplicar.
Turned off 1 gate of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	1 de %2$d gates desligado. Os demais não aceitam um valor true ou false. Reinicie o TikTok para aplicar.
Turned off 1 gate. Restart TikTok to apply this.	1 gate desligado. Reinicie o TikTok para aplicar.
Two letters, like us, gb or jp.	Duas letras, como us, gb ou jp.
Type	Tipo
Start typing	Comece a digitar
Unavailable	Indisponível
Unblock this commenter	Desbloquear quem comentou
Unblocked %1$s	%1$s desbloqueado
Couldn't confirm the unblock for %1$s. Open their profile to check.	Não foi possível confirmar o desbloqueio de %1$s. Abra o perfil para conferir.
Undo	Desfazer
Undo clearing seen videos	Desfazer a limpeza dos vídeos vistos
Undo last Lab change	Desfazer a última mudança do Lab
Undo last restore or reset	Desfazer a última restauração ou redefinição
Undoing the last change	Desfazendo a última mudança
Until you choose here, this sheet follows your choices under Hide share actions.	Até você escolher aqui, este menu segue suas escolhas em Esconder ações de compartilhamento.
Up to %1$d speeds from %2$s to %3$s, separated by commas. Example: 0.5, 1, 1.5, 2, 2.5, 3. Leave empty for TikTok's list. Restart TikTok to apply this.	Até %1$d velocidades de %2$s a %3$s, separadas por vírgula. Por exemplo: 0.5, 1, 1.5, 2, 2.5, 3. Deixe vazio para a lista do TikTok. Reinicie o TikTok para aplicar.
Use 0 for TikTok's size, or %1$d to %2$d. Applies to the next caption.	Use 0 para o tamanho do TikTok, ou de %1$d a %2$d. Vale para a próxima legenda.
Use Save JSON for this large report	Use Salvar JSON para este relatório grande
Use TikTok's own hold, pull down and release gesture to keep playing at the hold speed, 2x unless Playback sets another.	Usar o gesto do próprio TikTok de segurar, puxar para baixo e soltar para continuar na velocidade de segurar, que é 2x a menos que você escolha outra em Reprodução.
Use a default playback speed	Usar uma velocidade de reprodução padrão
Use non-personalized search	Usar a busca sem personalização
Use system font	Usar a fonte do sistema
Use the preset for the region TikTok reports for your account and its shop too. May affect search.	Usar a predefinição também para a região que o TikTok informa para a sua conta e a loja dela. Pode afetar a busca.
Use the selected country and operator values. This changes what the SIM says and nothing else: your IP address, your account's history and the language you read in are all unchanged, and any one of them is enough for TikTok to keep the region it already chose. Restart TikTok to apply this.	Usar o país e os valores de operadora selecionados. Isso muda só o que o SIM informa: seu endereço IP, o histórico da sua conta e o idioma em que você lê continuam os mesmos, e qualquer um deles já basta para o TikTok manter a região que já escolheu. Reinicie o TikTok para aplicar.
Use the selected country. This changes what the SIM says and nothing else: your IP address, your account's history and the language you read in are all unchanged, and any one of them is enough for TikTok to keep the region it already chose. Restart TikTok to apply this.	Usar o país selecionado. Isso muda só o que o SIM informa: seu endereço IP, o histórico da sua conta e o idioma em que você lê continuam os mesmos, e qualquer um deles já basta para o TikTok manter a região que já escolheu. Reinicie o TikTok para aplicar.
Use the split layout on wider screens. Restart TikTok to apply this. If the old layout is still there, unfold again.	Usar o layout dividido em telas mais largas. Reinicie o TikTok para aplicar. Se o layout antigo ainda estiver lá, desdobre de novo.
Use value	Usar o valor
Use your own offline videos limit	Usar o seu próprio limite de vídeos offline
Using TikTok's value	Usando o valor do TikTok
Value	Valor
Value to return	Valor devolvido
Verified accounts	Contas verificadas
Version %1$s	Versão %1$s
Version %1$s for TikTok %2$s	Versão %1$s para TikTok %2$s
Video	Vídeo
Video (MP4)	Vídeo (MP4)
Video destination	Destino dos vídeos
Video download quality	Qualidade de download do vídeo
Video filename	Nome do arquivo do vídeo
Video info	Informações do vídeo
Video playback quality	Qualidade de reprodução do vídeo
Video saved	Vídeo salvo
Video saved in %1$s, but only %2$s of %3$s subtitles came with it	Vídeo salvo em %1$s, mas só vieram %2$s de %3$s legendas
Video saved with %1$s subtitles in %2$s	Vídeo salvo com %1$s legendas em %2$s
Wait before hiding the controls.	Esperar antes de limpar a tela.
Watching and sharing	Assistir e compartilhar
WebP, exactly as TikTok sent it	WebP, exatamente como o TikTok mandou
What TikTok gets	O que o TikTok recebe
When TikTok requests this key, return the selected value below	Quando o TikTok pedir esta chave, devolver o valor escolhido abaixo
While diagnostic logging is on, a message names the part of Hushfeed that failed. Off keeps failures in the report only.	Enquanto o registro de diagnóstico estiver ligado, uma mensagem indica a parte do Hushfeed que falhou. Desligado, as falhas ficam só no relatório.
Window width needed to enable the layout. Restart TikTok to apply this.	Largura de janela necessária para ligar o layout. Reinicie o TikTok para aplicar.
Words and countries	Palavras e países
Write the video's sound beside it as an .m4a. Android 10 and later file audio separately, so it lands in Music under the same folder name as your videos.	Escrever o som do vídeo ao lado dele como um .m4a. O Android 10 e posteriores arquivam o áudio à parte, então ele vai para Music, numa pasta com o mesmo nome da dos seus vídeos.
YTDLnis background mode	Modo em segundo plano do YTDLnis
YTDLnis download type	Tipo de download do YTDLnis
Yes	Sim
Your feed	Seu feed
Your filters hid everything TikTok just sent. Most were %1$s.	Seus filtros esconderam tudo o que o TikTok acabou de enviar. A maior parte era %1$s.
Your filters hid everything TikTok sent, %1$d times in a row. Most were %2$s.	Seus filtros esconderam tudo o que o TikTok enviou, %1$d vezes seguidas. A maior parte era %2$s.
Your operator's name, like T-Mobile.	O nome da sua operadora, como T-Mobile.
Your operator's numeric code, like 310260.	O código numérico da sua operadora, como 310260.
Zero leaves the way out of the hold there every time, which is what it has always done. Anything else is how many times a day it works, and once they are gone the hold stays up until the day starts over. Ignored while the budget is locked, which takes the way out away entirely.	Zero deixa a saída da espera disponível sempre, como sempre foi. Qualquer outro valor é quantas vezes por dia ela funciona, e quando acabam a espera continua até o dia recomeçar. Ignorado enquanto o limite está travado, porque isso tira a saída por completo.
Zero means no limit. Counts the videos Hushfeed advanced past for you, not the ones you swiped yourself, and starts again when the feed is rebuilt or you change this number.	Zero quer dizer sem limite. Conta os vídeos que o Hushfeed passou por você, não os que você deslizou, e começa de novo quando o feed é reconstruído ou você muda este número.
Zero shows the notice and leaves the feed alone. Anything else covers the feed for that many minutes once a budget is reached. Messages, profiles and search keep working, and nothing in the feed is thrown away.	Zero mostra o aviso e deixa o feed em paz. Qualquer outro valor cobre o feed por esses minutos assim que um limite é atingido. Mensagens, perfis e busca continuam funcionando, e nada do feed é descartado.
Zero switches this off. A short reminder after that many minutes of watching, and again after the same again. Time on messages, a profile or search does not count, and nothing is shown while the feed is on hold.	Zero desliga isso. Um lembrete curto depois desses minutos assistindo, e de novo após o mesmo intervalo. Tempo em mensagens, num perfil ou na busca não conta, e nada aparece enquanto o feed está em espera.
Zero switches this off. Count every video that comes up in the feed, however you got to it, and say so once the count is reached. This is separate from the auto-advance session limit under Playback, which only counts videos Hushfeed itself advanced past.	Zero desliga isso. Conta cada vídeo que aparece no feed, não importa como você chegou nele, e avisa assim que a contagem for atingida. É separado do limite de sessão do avanço automático, em Reprodução, que só conta os vídeos que o Hushfeed passou por você.
Zero switches this off. Count the minutes the player spends running in the feed. Time on messages, a profile or search does not count.	Zero desliga isso. Conta os minutos que o player passa rodando no feed. Tempo em mensagens, num perfil ou na busca não conta.
collapsed	Recolhido
expanded	Expandido
Already active	Já está ativo
Applying Calm feed	Aplicando Feed tranquilo
Calm feed	Feed tranquilo
Calm feed couldn't be applied. Nothing was changed.	Não foi possível aplicar o Feed tranquilo. Nada foi alterado.
Calm feed couldn't start. Try again shortly.	Não foi possível iniciar o Feed tranquilo. Tente novamente em instantes.
Calm feed is on. Restart TikTok to apply every change.	O Feed tranquilo está ativado. Reinicie o TikTok para aplicar todas as mudanças.
Calm feed is on.	O Feed tranquilo está ativado.
Changed	Alterado
Hide ads, Shop posts, LIVE videos and replays, promotional music, and paid partnerships.	Oculta anúncios, publicações da Loja, vídeos LIVE e reprises, músicas promocionais e parcerias pagas.
On	Ativado
On. Restore puts back the feed setup you had before.	Ativado. Restaurar recupera a configuração de feed que você usava antes.
Preset	Predefinição
Quick setup	Configuração rápida
Restore setup	Restaurar configuração
Restoring setup	Restaurando configuração
Some Calm feed settings changed. Restore still puts back your earlier setup.	Algumas configurações do Feed tranquilo mudaram. Restaurar ainda recupera a configuração anterior.
Use Calm feed	Usar Feed tranquilo
Working	Em andamento
Your current settings already match Calm feed.	Suas configurações atuais já correspondem ao Feed tranquilo.
Your previous feed setup couldn't be restored. Nothing was changed.	Não foi possível restaurar sua configuração anterior do feed. Nada foi alterado.
Your previous feed setup is back. Restart TikTok to apply every change.	Sua configuração anterior do feed foi restaurada. Reinicie o TikTok para aplicar todas as mudanças.
Your previous feed setup is back.	Sua configuração anterior do feed foi restaurada.
Hide search suggestions above comments	Ocultar sugestões de pesquisa acima dos comentários
Compact comment header	Cabeçalho de comentários compacto
Easier comment likes	Curtir comentários com mais facilidade
Hide the Full screen button	Ocultar o botão de tela cheia
Hide the Full screen button over videos. Playback and automatic rotation keep working as before.	Oculte o botão de tela cheia sobre os vídeos. A reprodução e a rotação automática continuam funcionando como antes.
Hide location labels	Ocultar etiquetas de localização
Hide the search bar below videos	Ocultar a barra de pesquisa abaixo dos vídeos
Hide the suggested-search strip above the bottom tabs and let video details and side controls use its space. The top search button and comments stay unchanged.	Esconda a barra de pesquisas sugeridas acima das abas inferiores para que os detalhes do vídeo e os controles laterais usem esse espaço. O botão de pesquisa no topo e os comentários não mudam.
Hide place badges on videos, including cards with multiple places. Videos and your location permissions stay unchanged.	Oculte etiquetas de localização nos vídeos, incluindo cartões com vários lugares. Os vídeos e suas permissões de localização não mudam.
Filter location-tagged videos	Filtrar vídeos com localização
Hide feed videos with place badges, even when they aren't paid ads. To keep the video and hide only its badge, use Hide location labels in Feed screen.	Esconda vídeos do feed com etiquetas de localização, mesmo que não sejam anúncios pagos. Para manter o vídeo e ocultar só a etiqueta, use Ocultar etiquetas de localização em Tela do feed.
Location-tagged videos	Vídeos com localização
Extend the heart's touch area into nearby blank space. The icon and row spacing stay the same. Text, Reply and other controls keep their own space.	Amplie a área de toque do coração para o espaço vazio ao redor. O ícone e o espaçamento entre as linhas não mudam. O texto, Responder e os outros controles mantêm sua própria área.
Start with comments. Hide the comment count, sort and close buttons, plus the suggestion area above them. Use Back or swipe down to close comments.	Comece direto nos comentários. Oculte a contagem, os botões de ordenar e fechar e a área de sugestões acima deles. Use Voltar ou deslize para baixo para fechar os comentários.
Hide TikTok's "Search: ..." banner above the comment count. This doesn't hide the comments or Hushfeed's comment-search box.	Oculte o banner "Pesquisar: ..." do TikTok acima da contagem de comentários. Isso não oculta os comentários nem a caixa de pesquisa de comentários do Hushfeed.
Hide the Report button on videos	Esconder o botão Denunciar nos vídeos
Hide the flag button TikTok puts above the creator's picture in some regions. You can still report a video from the share menu.	Esconde o botão de bandeira que o TikTok coloca acima da foto do criador em algumas regiões. Você ainda pode denunciar um vídeo pelo menu de compartilhar.
Hide search rewards	Esconder as recompensas de busca
Hide the points banner under the search box and the coin counter floating over search results, which TikTok shows in some regions. Searching works as before.	Esconde o aviso de pontos abaixo da caixa de busca e o contador de moedas que flutua sobre os resultados, que o TikTok mostra em algumas regiões. A busca funciona como antes.
%1$s hid everything TikTok sent, %2$d times in a row. Turn it off if that's not what you wanted.	%1$s escondeu tudo o que o TikTok enviou, %2$d vezes seguidas. Desative se não era isso que você queria.
Show the switch	Mostrar a opção

Restart TikTok to apply this	Reinicie o TikTok para aplicar

this creator	este criador

%1$s day	%1$s dia
%1$s days	%1$s dias
%1$s dp	%1$s dp
%1$s millisecond	%1$s milissegundo
%1$s milliseconds	%1$s milissegundos
%1$s minute	%1$s minuto
%1$s minutes	%1$s minutos
%1$s point	%1$s ponto
%1$s points	%1$s pontos
%1$s s	%1$s s
%1$s second	%1$s segundo
%1$s seconds	%1$s segundos
%1$s time	%1$s vez
%1$s times	%1$s vezes
%1$s video	%1$s vídeo
%1$s videos	%1$s vídeos
%1$s view per comment	%1$s visualização por comentário
%1$s views per comment	%1$s visualizações por comentário
%1$s view per like	%1$s visualização por curtida
%1$s views per like	%1$s visualizações por curtida
%1$s, %2$s, %3$s or %4$s	%1$s, %2$s, %3$s ou %4$s
%1$s, %2$s or %3$s	%1$s, %2$s ou %3$s
TikTok refused the follow with code %1$s	O TikTok recusou o seguir com o código %1$s
TikTok refused the follow with code %1$s. A hidden CAPTCHA may be the cause.	O TikTok recusou o seguir com o código %1$s. Talvez a causa seja um CAPTCHA escondido.
TikTok refused the follow: %1$s A hidden CAPTCHA may be the cause.	O TikTok recusou o seguir: %1$s Talvez a causa seja um CAPTCHA escondido.
Hushfeed is paused	O Hushfeed está pausado
TikTok runs as if it were not patched. Your settings stay as they are.	O TikTok funciona como se não tivesse patches. Suas configurações continuam como estão.
TikTok closed three times within a minute of starting, so Hushfeed paused itself. Your settings stay as they are.	O TikTok fechou três vezes no primeiro minuto depois de abrir, então o Hushfeed se pausou sozinho. Suas configurações continuam como estão.
A file named hushfeed-safe-mode in TikTok's folder under Android/data paused Hushfeed. Your settings stay as they are.	Um arquivo chamado hushfeed-safe-mode na pasta do TikTok em Android/data pausou o Hushfeed. Suas configurações continuam como estão.
Turn Hushfeed back on	Ativar o Hushfeed de novo
Pause Hushfeed	Pausar o Hushfeed
From the next start TikTok runs as if it were not patched, so you can tell whether a problem comes from Hushfeed. Your settings stay as they are.	A partir da próxima abertura, o TikTok funciona como se não tivesse patches, para você saber se um problema vem do Hushfeed. Suas configurações continuam como estão.
Hushfeed turns back on when TikTok restarts.	O Hushfeed volta a funcionar quando o TikTok reiniciar.
The file hushfeed-safe-mode couldn't be removed. Delete it from TikTok's folder under Android/data to turn Hushfeed back on.	Não foi possível remover o arquivo hushfeed-safe-mode. Apague-o da pasta do TikTok em Android/data para ativar o Hushfeed de novo.
Hide TikTok Shop in search	Esconder o TikTok Shop na busca
Hide the Products block and product cards in search results.	Esconder o bloco de Produtos e os cartões de produto nos resultados da busca.
Hide TikTok's Auto scroll button	Esconder o botão Auto scroll do TikTok
Takes TikTok's own Auto scroll action out of the video panel. Auto-advance keeps working.	Remove a ação Auto scroll do TikTok do painel do vídeo. Os vídeos continuam avançando automaticamente.
Hide the unread badges on the bottom tabs	Esconder os selos de não lidos nas abas inferiores
Hide the red counts and dots on every bottom tab, Inbox and Profile included. The inbox itself still shows what came in.	Esconde os contadores e pontos vermelhos de todas as abas inferiores, incluindo Caixa de entrada e Perfil. A caixa de entrada continua mostrando o que chegou.
Speed while you hold the video	Velocidade enquanto você segura o vídeo
Hide mini dramas	Esconder minidramas
Hide TikTok's short drama episodes and the cards that promote them.	Esconder os episódios de dramas curtos do TikTok e os cartões que os promovem.
Mini dramas	Minidramas
Swipe left	Deslizar para a esquerda
TikTok default (open the creator's profile)	Padrão do TikTok (abrir o perfil do criador)
Saving %1$s of %2$s	Salvando %1$s de %2$s
Stopping after this file	Parando depois deste arquivo
Saved %1$s of %2$s, the rest cancelled	%1$s de %2$s salvos, o restante cancelado
Saved %1$s of %2$s, %3$s skipped	%1$s de %2$s salvos, %3$s ignorados
Saved %1$s of %2$s, %3$s skipped and the rest cancelled	%1$s de %2$s salvos, %3$s ignorados e o restante cancelado
None of the photos could be saved. Try again.	Nenhuma das fotos pôde ser salva. Tente novamente.
Saved %1$s of %2$s, the rest need more free space	%1$s de %2$s salvos, o restante precisa de mais espaço livre
Saved %1$s of %2$s, the rest ran out of time	%1$s de %2$s salvos, o restante ficou sem tempo
Live photo clip saved to %1$s	Clipe da foto ao vivo salvo em %1$s
The live photo's clip couldn't be saved. Try again.	O clipe da foto ao vivo não pôde ser salvo. Tente novamente.
Creator exceptions	Exceções de criadores
Comma separated account handles or user ids. Their videos stay when only a filter on the kind of post, its labels, age, length or counts would hide them. Ads, blocked creators, words, sounds and countries, and seen videos still apply.	Nomes de conta ou ids de usuário separados por vírgula. Os vídeos deles ficam quando só um filtro por tipo de publicação, rótulos, idade, duração ou números os esconderia. Anúncios, criadores, palavras, sons e países bloqueados e vídeos já vistos continuam valendo.
An exception names one creator, so a pattern can't be one: %1$s	Uma exceção nomeia um criador, então um padrão não pode ser uma: %1$s
An exception takes a handle or id, not a display name: %1$s	Uma exceção recebe um nome de conta ou id, não um nome de exibição: %1$s
Also on a block list, so still hidden: %1$s	Também está numa lista de bloqueio, então continua escondido: %1$s
Find the sound on YouTube Music	Procurar o som no YouTube Music
YouTube Music isn't installed	O YouTube Music não está instalado
This video's sound has no title to look for	O som deste vídeo não tem título para procurar
YouTube Music couldn't be opened. Open it yourself and search for the sound.	O YouTube Music não pôde ser aberto. Abra você mesmo e procure o som.
Allow storage for TikTok in Android settings to save the live photo's clip	Permita o armazenamento para o TikTok nas configurações do Android para salvar o clipe da foto ao vivo
This is the video's own sound, so YouTube Music won't have it	Este é o som do próprio vídeo, então o YouTube Music não vai tê-lo
Not a handle or id, so ignored: %1$s	Não é um nome de conta nem um id, então foi ignorado: %1$s
