%1$d already matched	%1$d tanesi zaten eşleşiyor
%1$d areas were checked and everything they need is here.	%1$d alan kontrol edildi ve ihtiyaç duydukları her şey burada.
%1$d fields overridden	%1$d alan geçersiz kılındı
%1$d fields will be overridden when requested	İstendiğinde %1$d alan geçersiz kılınacak
%1$d gates selected	%1$d özellik kapısı seçildi
%1$d minutes left	%1$d dakika kaldı
%1$d rejected	%1$d reddedildi
%1$d results	%1$d sonuç
%1$d results so far	Şimdiye kadar %1$d sonuç
%1$d results so far, and more not counted	Şimdiye kadar %1$d sonuç, sayılmayan başkaları da var
%1$d results, filtered to %2$s	%1$d sonuç, filtre: %2$s
%1$d setting was not in that file and was left as it is	%1$d ayar o dosyada yoktu ve olduğu gibi bırakıldı
%1$d settings were not in that file and were left as they are	%1$d ayar o dosyada yoktu ve oldukları gibi bırakıldı
%1$d unavailable	%1$d kullanılamıyor
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (TikTok değeri)
%1$s (custom, unverified)	%1$s (özel, doğrulanmamış)
%1$s (override returned)	%1$s (geçersiz kılma döndürüldü)
%1$s (will be returned when requested)	%1$s (istendiğinde döndürülecek)
%1$s / current cache only	%1$s / yalnızca mevcut önbellek
%1$s / generated registry	%1$s / oluşturulmuş kayıt defteri
%1$s / generated registry and current cache	%1$s / oluşturulmuş kayıt defteri ve mevcut önbellek
%1$s / local catalog	%1$s / yerel katalog
%1$s and above	%1$s ve üzeri
%1$s appears more than once in this file.	%1$s bu dosyada birden fazla kez geçiyor.
%1$s changed	%1$s değişti
%1$s destinations must start with %2$s	%1$s hedefleri %2$s ile başlamalı
%1$s has an invalid value. %2$s	%1$s değeri geçersiz. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s, Lab'in geçersiz kılamayacağı bir değer türü.
%1$s has type %2$s, but the file says %3$s.	%1$s türü %2$s, ama dosyada %3$s yazıyor.
%1$s is already hidden	%1$s zaten gizli
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s bir ülke kodu değil, bu yüzden hiçbir video onunla eşleşmez. GB, IE veya US gibi iki harf kullan.
%1$s is not in this Lab catalog.	%1$s bu Lab kataloğunda yok.
%1$s isn't installed or doesn't take links	%1$s yüklü değil veya bağlantı kabul etmiyor
%1$s left	%1$s kaldı
%1$s min left	%1$s dk kaldı
%1$s to %2$s	%1$s ile %2$s arası
%1$s videos left	%1$s video kaldı
%1$s was rejected. %2$s	%1$s reddedildi. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, seçili
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d bulundu, %3$d eksik
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d bulundu, %3$d eksik, daha fazlası da var ama saymayı bıraktı
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d bulundu, %3$d eksik, daha fazlası da var ama saymayı bıraktı. İlk eksik: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d bulundu, %3$d eksik. İlk eksik: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 alan geçersiz kılındı
Something is missing from %1$s. Tap for the whole report.	%1$s içinde eksik bir şey var. Raporun tamamı için dokun.
Sound link copied	Ses bağlantısı kopyalandı
Sound saved to %1$s	Ses şuraya kaydedildi: %1$s
Source	Kaynak
Speed	Hız
Speed menu choices	Hız menüsü seçenekleri
Split comment minimum width	Bölünmüş yorumlar için en düşük genişlik
Start each new video at your default. A manual choice lasts until the video changes.	Her yeni videoyu varsayılan ayarınla başlat. Elle yaptığın seçim video değişene kadar geçerli kalır.
Start feature gate recording	Özellik kapısı kaydını başlat
Start recording	Kaydı başlat
Start the day at	Günün başlangıç saati
Start today over	Bugünü baştan başlat
Start typing	Yazmaya başla
Start with comments. Hide the comment count, sort and close buttons, plus the suggestion area above them. Use Back or swipe down to close comments.	Yorumlarla başla. Yorum sayısını, sıralama ve kapatma düğmelerini, ayrıca bunların üstündeki öneri alanını gizle. Yorumları kapatmak için Geri'yi kullan veya aşağı kaydır.
Sticker	Çıkartma
Sticker destination	Çıkartma kayıt konumu
Sticker saved to %1$s	Çıkartma şuraya kaydedildi: %1$s
Still here. Nothing is waiting.	Hâlâ burada. Bekleyen bir şey yok.
Still reading the record. Tap again in a moment.	Kayıt hâlâ okunuyor. Birazdan yeniden dokun.
Still saving the last one	Bir önceki hâlâ kaydediliyor
Stop ByteDance AppLog events, AppsFlyer attribution, explicit Firebase screen reports and crash reporting from being sent. TikTok's own diagnostics go quiet with them.	ByteDance AppLog olaylarının, AppsFlyer ilişkilendirmesinin, açık Firebase ekran raporlarının ve çökme raporlarının gönderilmesini durdur. TikTok'un kendi tanılaması da bunlarla birlikte susar.
Stop TikTok asking the screen to run at the frame rate of the video it is playing. On a 90 or 120 Hz phone that ask slows the whole app down to the video's rate, scrolling included.	TikTok'un ekrandan, oynattığı videonun kare hızında çalışmasını istemesini durdur. 90 veya 120 Hz'lik bir telefonda bu istek, kaydırma dahil tüm uygulamayı videonun hızına düşürür.
Stop TikTok listening to the accelerometer, gyroscope, magnetometer and the other motion sensors it uses to fingerprint the phone. Saves the battery they wake.	TikTok'un ivmeölçeri, jiroskopu, manyetometreyi ve telefonun parmak izini çıkarmak için kullandığı diğer hareket sensörlerini dinlemesini durdur. Bu sensörlerin uyandıkça harcadığı pili korur.
Stop TikTok reading what you copied. Copying a link from TikTok still works.	TikTok'un kopyaladıklarını okumasını durdur. TikTok'tan bağlantı kopyalamak yine çalışır.
Stop TikTok reporting that you viewed a story or a profile, or that you are typing. Online status is unchanged. It cannot undo what the server has already recorded.	TikTok'un bir hikayeyi veya profili görüntülediğini ya da yazmakta olduğunu bildirmesini durdur. Çevrimiçi durumu değişmez. Sunucunun zaten kaydettiği şeyleri geri alamaz.
Stop a long press on Like from opening TikTok's repost action.	Beğen'e uzun basmanın TikTok'un yeniden yayınlama işlemini açmasını durdur.
Stop a long press on Share from opening TikTok's quick share action.	Paylaş'a uzun basmanın TikTok'un hızlı paylaşım işlemini açmasını durdur.
Stop feature gate recording	Özellik kapısı kaydını durdur
Stop the brand animation that plays over the comments when what someone typed matches an advertiser's trigger.	Birinin yazdığı şey bir reklamverenin tetikleyicisiyle eşleştiğinde yorumların üzerinde oynayan marka animasyonunu durdur.
Stop the bubble that asks you to share a video with friends after you like it.	Bir videoyu beğendikten sonra onu arkadaşlarınla paylaşmanı isteyen balonu durdur.
Keep websites outside TikTok from using its connection back into the app. TikTok pages such as Activity center, Watch history, shop checkout and CAPTCHA keep working.	TikTok dışındaki web sitelerinin uygulamayla olan bağlantısını kullanmasını engelle. Etkinlik merkezi, İzleme geçmişi, mağaza ödeme sayfası ve CAPTCHA gibi TikTok sayfaları çalışmaya devam eder.
Stop video looping	Video döngüsünü durdur
Stop videos at the end instead of replaying them.	Videoları yeniden oynatmak yerine sonunda durdur.
Stopped after dismissing %1$s suggested accounts	Önerilen %1$s hesap kapatıldıktan sonra durdu
Stopped after dismissing one suggested account	Önerilen bir hesap kapatıldıktan sonra durdu
Stories	Hikayeler
Story saved to %1$s	Hikaye şuraya kaydedildi: %1$s
Structured value observed	Yapılandırılmış değer gözlemlendi
Subtitle language	Altyazı dili
Subtitles	Altyazılar
System	Sistem
Hide the streak button in a chat and the reminder message that goes with it.	Sohbetteki seri düğmesini ve onunla birlikte gelen hatırlatma mesajını gizle.
Tap %1$s again to send	Göndermek için yeniden dokun: %1$s
Tap a comment's heart twice within %1$d seconds. A double tap on the comment needs a second one too. Removing a like stays immediate.	Bir yorumun kalbine %1$d saniye içinde iki kez dokun. Yoruma çift dokunmak da ikinci bir çift dokunma ister. Beğeniyi kaldırmak yine anında olur.
Tap a story's heart twice within %1$d seconds. Removing a like stays immediate.	Bir hikayenin kalbine %1$d saniye içinde iki kez dokun. Beğeniyi kaldırmak yine anında olur.
Tap Repost on the bar under a video twice within %1$d seconds. A repost with a note is left alone.	Bir videonun altındaki çubukta Yeniden yayınla düğmesine %1$d saniye içinde iki kez dokun. Not eklenmiş bir yeniden yayınlama olduğu gibi kalır.
Tap again to follow	Takip etmek için yeniden dokun
Tap again to like	Beğenmek için yeniden dokun
Tap again to repost	Yeniden yayınlamak için yeniden dokun
Tap again to send	Göndermek için yeniden dokun
Tap the feed Follow button twice within %1$d seconds.	Akıştaki Takip et düğmesine %1$d saniye içinde iki kez dokun.
Tap the like heart twice within %1$d seconds. Removing a like stays immediate.	Beğeni kalbine %1$d saniye içinde iki kez dokun. Beğeniyi kaldırmak yine anında olur.
Tap to start the feed	Akışı başlatmak için dokun
Technical details	Teknik ayrıntılar
Technical details, %1$s	Teknik ayrıntılar, %1$s
That backup was written by a newer Hushfeed than this one. Nothing was altered.	Bu yedek, bundan daha yeni bir Hushfeed sürümüyle yazılmış. Hiçbir şey değiştirilmedi.
That creator is already in the list	Bu içerik üreticisi zaten listede
That creator pattern is too long to use, so it was skipped: %1$s	Bu içerik üreticisi kalıbı kullanılamayacak kadar uzun olduğu için atlandı: %1$s
That creator pattern is too long, so it was not added: %1$s	Bu içerik üreticisi kalıbı çok uzun olduğu için eklenmedi: %1$s
That file is not a loaded-values export, or it is larger than the Lab accepts	Bu dosya bir yüklenen değerler dışa aktarımı değil ya da Lab'in kabul ettiğinden büyük
That file is not readable text, so it may have been damaged in transit. Nothing was altered.	Bu dosya okunabilir bir metin değil, aktarım sırasında zarar görmüş olabilir. Hiçbir şey değiştirilmedi.
That file is too large to be a settings backup. Nothing was altered.	Bu dosya bir ayar yedeği olamayacak kadar büyük. Hiçbir şey değiştirilmedi.
That folder name has a character Android does not allow. Use letters, numbers, spaces or dashes.	Bu klasör adında Android'in izin vermediği bir karakter var. Harf, rakam, boşluk veya kısa çizgi kullan.
That is %1$d minutes today	Bugün %1$d dakika etti
That is %1$d videos today	Bugün %1$d video etti
That is not a Hushfeed settings backup. Nothing was altered.	Bu bir Hushfeed ayar yedeği değil. Hiçbir şey değiştirilmedi.
That is not an app name. Try something like com.example.downloader, or leave the box empty to keep saving in TikTok.	Bu bir uygulama adı değil. com.example.downloader gibi bir şey dene ya da TikTok'a kaydetmeye devam etmek için kutuyu boş bırak.
That is one minute today	Bugün bir dakika etti
That is one video today	Bugün bir video etti
That list has too many entries. Keep it to %1$s or fewer.	Bu listede çok fazla giriş var. %1$s veya daha az olsun.
That list is too large. Keep it to %1$s KB or less.	Bu liste çok büyük. %1$s KB veya daha küçük olsun.
That preset is not recognized. Choose another.	Bu hazır ayar tanınmıyor. Başka birini seç.
That settings backup contains a feed rule list larger than Hushfeed accepts. Nothing was altered.	Bu ayar yedeği, Hushfeed'in kabul ettiğinden büyük bir akış kuralı listesi içeriyor. Hiçbir şey değiştirilmedi.
That settings backup holds a value Hushfeed cannot read. Nothing was altered.	Bu ayar yedeğinde Hushfeed'in okuyamadığı bir değer var. Hiçbir şey değiştirilmedi.
That settings backup holds more Feature Gate Lab rules than the Lab takes. Nothing was altered.	Bu ayar yedeğinde Lab'in aldığından fazla Feature Gate Lab kuralı var. Hiçbir şey değiştirilmedi.
That settings backup is damaged or only partly downloaded. Nothing was altered.	Bu ayar yedeği hasarlı ya da yalnızca bir kısmı indirilmiş. Hiçbir şey değiştirilmedi.
That settings backup is incomplete, so it may have been cut short. Nothing was altered.	Bu ayar yedeği eksik, yarıda kesilmiş olabilir. Hiçbir şey değiştirilmedi.
That settings change did not go through. Nothing was altered.	Bu ayar değişikliği uygulanamadı. Hiçbir şey değiştirilmedi.
That sticker is in a format Hushfeed cannot read	Bu çıkartma Hushfeed'in okuyamadığı bir biçimde
The Lab can't check this. TikTok gets it exactly as typed.	Lab bunu denetleyemiyor. TikTok bunu tam yazıldığı gibi alır.
The Lab couldn't open. Go back and open it again.	Lab açılamadı. Geri dön ve yeniden aç.
The Lab keeps at most %1$s rules. This change would make %2$s, so nothing was changed.	Lab en fazla %1$s kural tutar. Bu değişiklikle %2$s olacaktı, bu yüzden hiçbir şey değiştirilmedi.
The catalog says this key is %1$s and this override is %2$s. Reset the override and make a new one.	Kataloğa göre bu anahtar %1$s, bu geçersiz kılma ise %2$s. Geçersiz kılmayı sıfırla ve yenisini oluştur.
The diagnostic report couldn't be saved yet. Try again in a moment.	Tanılama raporu henüz kaydedilemedi. Birazdan yeniden dene.
The diagnostic report couldn't be saved. Try again.	Tanılama raporu kaydedilemedi. Yeniden dene.
The downloader app you chose isn't installed. Check Send links to another app under Downloads.	Seçtiğin indirme uygulaması yüklü değil. İndirmeler altındaki Bağlantıları başka bir uygulamaya gönder ayarını kontrol et.
The export failed and the partial file couldn't be removed. Delete it from your Downloads folder.	Dışa aktarma başarısız oldu ve yarım kalan dosya kaldırılamadı. Dosyayı İndirilenler klasöründen sil.
The feed dims over the last three quarters of a minute before the hold, so you arrive at it rather than land on it. Needs a time budget and a hold to arrive at.	Akış, bekletmeden önceki son kırk beş saniye boyunca kararır, böylece bekletmeye birden çarpmak yerine yavaşça varırsın. Bir süre bütçesi ve varılacak bir bekletme gerekir.
The feed does not end. This is a fine time to leave it.	Akışın sonu yok. Şimdi bırakmak için iyi bir an.
The feed is open again	Akış yeniden açık
The feed waits for one tap before it starts playing again when you come back to the app. Messages, profiles and search are still one tap away.	Uygulamaya döndüğünde akış yeniden oynamaya başlamadan önce tek bir dokunuş bekler. Mesajlar, profiller ve arama hâlâ bir dokunuş uzakta.
The hour both budgets reset, on a 24 hour clock. Four in the morning by default, because someone still scrolling at one is having last night.	İki bütçenin de sıfırlandığı saat, 24 saatlik düzende. Varsayılan sabahın dördüdür, çünkü saat birde hâlâ kaydıran biri dün geceyi yaşıyordur.
Last change put back. Restart TikTok to apply all changes.	Son değişiklik geri kondu. Tüm değişiklikleri uygulamak için TikTok'u yeniden başlat.
Last change put back. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.	Son değişiklik geri kondu. Feature Gate Lab kuralları başka bir TikTok sürümü içindi ve dışarıda bırakıldı. Tüm değişiklikleri uygulamak için TikTok'u yeniden başlat.
Show only videos with this many comments.	Yalnızca bu kadar yorumu olan videoları göster.
Show only videos with this many favorites.	Yalnızca bu kadar favorisi olan videoları göster.
Show only videos with this many likes.	Yalnızca bu kadar beğenisi olan videoları göster.
Show only videos with this many shares.	Yalnızca bu kadar paylaşımı olan videoları göster.
Show only videos with this many views.	Yalnızca bu kadar görüntülenmesi olan videoları göster.
The original photos aren't available, so TikTok's own save runs instead	Orijinal fotoğraflar kullanılamıyor, bu yüzden TikTok'un kendi kaydetme işlemi çalışıyor
The override changes no fields. Edit the field values, or reset the override.	Geçersiz kılma hiçbir alanı değiştirmiyor. Alan değerlerini düzenle ya da geçersiz kılmayı sıfırla.
The override couldn't be applied: %1$s. Edit the field values, or reset the override.	Geçersiz kılma uygulanamadı: %1$s. Alan değerlerini düzenle ya da geçersiz kılmayı sıfırla.
The override doesn't say what list to return. Edit the field values, or reset the override.	Geçersiz kılma hangi listenin döndürüleceğini belirtmiyor. Alan değerlerini düzenle ya da geçersiz kılmayı sıfırla.
The profile picture couldn't be saved. Try again.	Profil fotoğrafı kaydedilemedi. Yeniden dene.
The record of an interrupted settings change couldn't be read, so it was set aside. Check your settings.	Yarıda kalan bir ayar değişikliğinin kaydı okunamadığı için bir kenara ayrıldı. Ayarlarını kontrol et.
The report couldn't be saved. Try again.	Rapor kaydedilemedi. Yeniden dene.
The loaded-values file you chose couldn't be read. Try again.	Seçtiğin yüklenen değerler dosyası okunamadı. Yeniden dene.
The setting couldn't finish updating. Its saved value is shown.	Ayarın güncellenmesi tamamlanamadı. Kayıtlı değeri gösteriliyor.
The settings backup was rejected. Nothing was altered.	Ayar yedeği reddedildi. Hiçbir şey değiştirilmedi.
The smallest value is above the largest	En küçük değer en büyük değerden yüksek
The sound couldn't be saved. Try again.	Ses kaydedilemedi. Yeniden dene.
The sticker couldn't be saved. Try again.	Çıkartma kaydedilemedi. Yeniden dene.
The story couldn't be saved. Try again.	Hikaye kaydedilemedi. Yeniden dene.
The thumbs down on each comment blocks the commenter instead of disliking. The comment dims, an undo banner follows, and a second tap unblocks.	Her yorumdaki aşağı başparmak, beğenmemek yerine yorumu yazanı engeller. Yorum soluklaşır, ardından bir geri alma şeridi çıkar ve ikinci bir dokunuş engeli kaldırır.
The video couldn't be saved. Try again, or choose Automatic.	Video kaydedilemedi. Yeniden dene ya da Otomatik'i seç.
There is no Lab change to undo.	Geri alınacak bir Lab değişikliği yok.
There is no diagnostic data to clear	Temizlenecek tanılama verisi yok
There is no diagnostic data to put back	Geri konacak tanılama verisi yok
There was nothing to put back	Geri konacak bir şey yoktu
These loaded values are for a different TikTok version.	Bu yüklenen değerler farklı bir TikTok sürümüne ait.
This catalog entry is no longer available. Refresh the Lab and try again.	Bu katalog girişi artık kullanılamıyor. Lab'i yenile ve yeniden dene.
This change couldn't be saved. Try again.	Bu değişiklik kaydedilemedi. Yeniden dene.
This configuration has no fields that can be copied and changed safely on this build.	Bu yapılandırmada, bu sürümde güvenle kopyalanıp değiştirilebilecek bir alan yok.
This file has more loaded values than the Lab takes at once.	Bu dosyada Lab'in tek seferde aldığından fazla yüklenen değer var.
This file has no loaded values in it.	Bu dosyada hiç yüklenen değer yok.
This file isn't a loaded-values export from the Feature Gate Lab.	Bu dosya Feature Gate Lab'den alınmış bir yüklenen değerler dışa aktarımı değil.
This gate type is not supported.	Bu özellik kapısı türü desteklenmiyor.
This key isn't in the local catalog, so its type can't be checked. Reset the override.	Bu anahtar yerel katalogda olmadığı için türü denetlenemiyor. Geçersiz kılmayı sıfırla.
This line opens a rule and does not finish it: %1$s. Write two phrases as "a" & "b" for both, or "a" !& "b" for the first without the second.	Bu satır bir kural açıyor ama bitirmiyor: %1$s. İki ifadeyi, ikisi birden için "a" & "b", ikincisi olmadan birincisi için "a" !& "b" biçiminde yaz.
This phone has no file picker, so there is no way to choose a file here	Bu telefonda dosya seçici yok, bu yüzden burada dosya seçmenin bir yolu yok
This phone has no folder picker. Type the folder into the row instead.	Bu telefonda klasör seçici yok. Bunun yerine klasörü satıra yaz.
This profile picture isn't available to save	Bu profil fotoğrafı kaydedilemiyor
This quality isn't available as a complete file, so TikTok's own save runs instead	Bu kalite tam bir dosya olarak sunulmuyor, bu yüzden TikTok'un kendi kaydetme işlemi çalışıyor
This setting's value can't be copied on this build, so it can't be overridden. Reset the override.	Bu ayarın değeri bu sürümde kopyalanamıyor, bu yüzden geçersiz kılınamaz. Geçersiz kılmayı sıfırla.
This story isn't available to save	Bu hikaye kaydedilemiyor
This value is required.	Bu değer gerekli.
This video has no link to copy	Bu videonun kopyalanacak bağlantısı yok
This video has no link to send, so TikTok's own save runs instead	Bu videonun gönderilecek bağlantısı yok, bu yüzden TikTok'un kendi kaydetme işlemi çalışıyor
This video has no original sound to save	Bu videonun kaydedilecek orijinal sesi yok
This video has no sound of its own	Bu videonun kendine ait bir sesi yok
Thumbs down blocks the commenter	Aşağı başparmak yorumu yazanı engeller
TikTok default	TikTok varsayılanı
TikTok default (hold to speed up, quick share)	TikTok varsayılanı (hızlandırmak için basılı tut, hızlı paylaşım)
TikTok did not block %1$s. Try again in a moment.	TikTok %1$s hesabını engellemedi. Birazdan yeniden dene.
TikTok did not unblock %1$s. Try again in a moment.	TikTok %1$s hesabının engelini kaldırmadı. Birazdan yeniden dene.
TikTok didn't accept the feedback. Try again later.	TikTok geri bildirimi kabul etmedi. Daha sonra yeniden dene.
TikTok hasn't handed this setting an object to change yet. Open the part of the app that uses it, then come back.	TikTok bu ayara henüz değiştirilecek bir nesne vermedi. Uygulamanın bunu kullanan bölümünü aç, sonra geri gel.
TikTok read it	TikTok bunu okudu
TikTok read it, but the override couldn't be applied. Reset it and save it again.	TikTok bunu okudu ama geçersiz kılma uygulanamadı. Sıfırla ve yeniden kaydet.
TikTok refused the follow: %1$s	TikTok takibi reddetti: %1$s
TikTok's own value	TikTok'un kendi değeri
TikTok's play and pause button and its previous and next buttons appear on the feed. TikTok otherwise shows them only to people who use a screen reader. TikTok's analytics note the row and each press on it.	TikTok'un oynat ve duraklat düğmesi ile önceki ve sonraki düğmeleri akışta görünür. Aksi halde TikTok bunları yalnızca ekran okuyucu kullananlara gösterir. TikTok'un analizleri satırı ve üzerindeki her dokunuşu kaydeder.
TikTok's server can put an account into an experiment that empties the Favorites tab on your profile. Keep the tab and its saved videos.	TikTok'un sunucusu, bir hesabı profilindeki Favoriler sekmesini boşaltan bir deneye sokabilir. Sekmeyi ve kayıtlı videolarını koru.
TikTok's size	TikTok'un boyutu
Times you can open the feed anyway	Akışı yine de açabileceğin sefer sayısı
Wait a day to loosen the budget	Bütçeyi gevşetmek için bir gün bekle
A change that loosens the budget waits until the day starts over and one that tightens it applies at once. A higher budget or no budget loosens it. So do a shorter hold and more times to open the feed anyway. Moving the hour the day starts and turning this off wait too. A restored backup follows the same rule and Start today over is off while this is on.	Bütçeyi gevşeten bir değişiklik gün yeniden başlayana kadar bekler, sıkılaştıran bir değişiklik ise hemen uygulanır. Daha yüksek bir bütçe ya da hiç bütçe olmaması onu gevşetir. Daha kısa bir bekletme ve akışı yine de açma hakkının artması da öyle. Günün başladığı saati değiştirmek ve bunu kapatmak da bekler. Geri yüklenen bir yedek aynı kurala uyar ve bu açıkken Bugünü baştan başlat kullanılamaz.
Changes to %1$s at %2$s	%2$s saatinde %1$s olarak değişir
Turns off at %1$s	%1$s saatinde kapanır
That loosens the budget. It waits until %1$s.	Bu bütçeyi gevşetir. %1$s saatine kadar bekler.
Today can't start over while Wait a day to loosen the budget is on. The day starts over at %1$s.	Bütçeyi gevşetmek için bir gün bekle açıkken bugün baştan başlatılamaz. Gün %1$s saatinde yeniden başlar.
Wait a day to loosen the budget is on, so Hushfeed stays on	Bütçeyi gevşetmek için bir gün bekle açık, bu yüzden Hushfeed açık kalıyor
Today has moved on, so there is nothing to put back	Bugün ilerledi, bu yüzden geri konacak bir şey yok
Today is back where it was	Bugün eski haline döndü
Today started over. Tap again to put the counts back.	Bugün baştan başladı. Sayıları geri koymak için yeniden dokun.
Today starts again	Bugün yeniden başlıyor
Today's budget is locked. The day starts over at %1$s.	Bugünün bütçesi kilitli. Gün %1$s saatinde baştan başlar.
Today's budget is locked. The feed opens again at %1$s. Messages, profiles and search still work.	Bugünün bütçesi kilitli. Akış %1$s saatinde yeniden açılır. Mesajlar, profiller ve arama çalışmaya devam eder.
Today's budget is locked. This can be changed again at %1$s.	Bugünün bütçesi kilitli. Bu, %1$s saatinde yeniden değiştirilebilir.
Today: %1$d minute	Bugün: %1$d dakika
Today: %1$d minutes	Bugün: %1$d dakika
Today: %1$d video	Bugün: %1$d video
Today: %1$d videos	Bugün: %1$d video
Tokens: {creator}, {date}, {video_id}, {index}. {index} numbers the photos of a slideshow you save with Download original photos. Anything saved through TikTok's own button is numbered by the folder instead. The file extension is kept automatically.	Belirteçler: {creator}, {date}, {video_id}, {index}. {index}, Orijinal fotoğrafları indir ile kaydettiğin bir slayt gösterisinin fotoğraflarını numaralar, TikTok'un kendi düğmesiyle kaydedilenleri ise klasör numaralar. Dosya uzantısı otomatik olarak korunur.
Tokens: {creator}, {date}, {video_id}. The file extension is kept automatically.	Belirteçler: {creator}, {date}, {video_id}. Dosya uzantısı otomatik olarak korunur.
Tokens: {date}, {media_id}. Works for image and video stickers.	Belirteçler: {date}, {media_id}. Görsel ve video çıkartmalarda çalışır.
Too many media saves are already running. Try again shortly.	Zaten çok fazla medya kaydı sürüyor. Birazdan yeniden dene.
Tracking	İzlenme
Tracking, device access and links	İzlenme, cihaz erişimi ve bağlantılar
Translate comments as they load, using TikTok's own translator.	Yorumları yüklenirken TikTok'un kendi çevirmeniyle çevir.
Transparent	Saydam
Try a different word or clear the search.	Başka bir kelime dene ya da aramayı temizle.
Try again, or go back to TikTok.	Yeniden dene ya da TikTok'a geri dön.
Turn on %1$s first.	Önce %1$s ayarını aç.
Turn on overrides	Geçersiz kılmaları aç
Turned off %1$d gates of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	%1$d / %2$d özellik kapısı kapatıldı. Geri kalanı true veya false değeri almıyor. Bunu uygulamak için TikTok'u yeniden başlat.
Turned off %1$d gates. Restart TikTok to apply this.	%1$d özellik kapısı kapatıldı. Bunu uygulamak için TikTok'u yeniden başlat.
Turned off 1 gate of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	1 / %2$d özellik kapısı kapatıldı. Geri kalanı true veya false değeri almıyor. Bunu uygulamak için TikTok'u yeniden başlat.
Turned off 1 gate. Restart TikTok to apply this.	1 özellik kapısı kapatıldı. Bunu uygulamak için TikTok'u yeniden başlat.
Two letters, like us, gb or jp.	us, gb veya jp gibi iki harf.
Type	Tür
Unavailable	Kullanılamıyor
Unblock	Engeli kaldır
Unblock this commenter	Bu yorumcunun engelini kaldır
Unblocked %1$s	%1$s hesabının engeli kaldırıldı
Undo	Geri al
Undo clearing seen videos	Görülen videoları temizlemeyi geri al
Undo last Lab change	Son Lab değişikliğini geri al
Undo last restore or reset	Son geri yüklemeyi veya sıfırlamayı geri al
Undoing the last change	Son değişiklik geri alınıyor
Until you choose here, this sheet follows your choices under Hide share actions.	Burada bir seçim yapana kadar bu menü, Paylaşım işlemlerini gizle altındaki seçimlerine uyar.
Up to %1$d speeds from %2$s to %3$s, separated by commas. Example: 0.5, 1, 1.5, 2, 2.5, 3. Leave empty for TikTok's list. Restart TikTok to apply this.	%2$s ile %3$s arasında, virgülle ayrılmış en fazla %1$d hız. Örnek: 0.5, 1, 1.5, 2, 2.5, 3. TikTok'un listesi için boş bırak. Bunu uygulamak için TikTok'u yeniden başlat.
Use 0 for TikTok's size, or %1$d to %2$d. Applies to the next caption.	TikTok'un boyutu için 0, ya da %1$d ile %2$d arasında bir değer kullan. Bir sonraki altyazıya uygulanır.
Use Calm feed	Sakin akışı kullan
Use Save JSON for this large report	Bu büyük rapor için JSON'u kaydet seçeneğini kullan
Use TikTok's own hold, pull down and release gesture to keep playing at the hold speed, 2x unless Playback sets another.	Basılı tutma hızında kalmak için TikTok'un kendi basılı tut, aşağı çek ve bırak hareketini kullan. Oynatma altında başka bir hız seçilmedikçe 2x'tir.
Use a default playback speed	Varsayılan bir oynatma hızı kullan
Use non-personalized search	Kişiselleştirilmemiş aramayı kullan
Use system font	Sistem yazı tipini kullan
Use the preset for the region TikTok reports for your account and its shop too. May affect search.	TikTok'un hesabın için bildirdiği bölgenin hazır ayarını mağaza için de kullan. Aramayı etkileyebilir.
Use the selected country and operator values. This changes what the SIM says and nothing else: your IP address, your account's history and the language you read in are all unchanged, and any one of them is enough for TikTok to keep the region it already chose. Restart TikTok to apply this.	Seçilen ülke ve operatör değerlerini kullan. Bu yalnızca SIM'in söylediğini değiştirir, başka hiçbir şeyi değil: IP adresin, hesabının geçmişi ve okuduğun dil aynı kalır ve bunlardan herhangi biri TikTok'un zaten seçtiği bölgeyi koruması için yeterlidir. Bunu uygulamak için TikTok'u yeniden başlat.
Use the selected country. This changes what the SIM says and nothing else: your IP address, your account's history and the language you read in are all unchanged, and any one of them is enough for TikTok to keep the region it already chose. Restart TikTok to apply this.	Seçilen ülkeyi kullan. Bu yalnızca SIM'in söylediğini değiştirir, başka hiçbir şeyi değil: IP adresin, hesabının geçmişi ve okuduğun dil aynı kalır ve bunlardan herhangi biri TikTok'un zaten seçtiği bölgeyi koruması için yeterlidir. Bunu uygulamak için TikTok'u yeniden başlat.
